date,sp500,gm,cat,tmus,dis
1/1/15,1994.99,25.985773,63.200615,30.18,84.775948
2/1/15,2104.5,29.721926,66.053413,33.029999,97.00396
3/1/15,2067.89,29.87328,63.766632,31.690001,97.758881
4/1/15,2085.51,28.158834,69.224609,34.040001,101.328499
5/1/15,2107.39,28.889709,68.545059,38.880001,102.866318
6/1/15,2063.11,26.769367,68.143387,38.77,106.380005
7/1/15,2103.84,25.569719,63.170403,40.66,111.841614
8/1/15,1972.18,23.889956,61.97805,39.610001,95.505783
9/1/15,1920.03,24.360611,52.994293,39.810001,95.805756
10/1/15,2079.36,28.677284,59.18074,37.889999,106.623741
11/1/15,2080.41,29.736979,59.563374,35.5,106.370644
12/1/15,2043.94,27.937965,55.718204,39.119999,98.505577
1/1/16,1940.24,24.604624,51.028561,40.150002,90.400726
2/1/16,1932.23,24.438602,56.199978,37.099998,90.117691
3/1/16,2059.74,26.090525,63.53833,38.299999,93.693336
4/1/16,2065.3,26.728731,64.517883,39.279999,97.419952
5/1/16,2096.95,26.29166,60.779823,42.759998,93.608421
6/1/16,2098.86,23.78689,63.545979,43.27,92.287613
7/1/16,2173.6,26.847679,69.371635,46.34,90.523376
8/1/16,2170.95,27.171144,69.354446,46.34,89.765007
9/1/16,2168.27,27.043465,75.126198,46.720001,88.244545
10/1/16,2126.15,27.220789,70.632362,49.73,88.082977
11/1/16,2198.81,29.744741,81.586456,54.209999,94.19339
12/1/16,2238.83,30.011782,79.178841,57.509998,99.039909
1/1/17,2278.87,31.878597,81.671867,62.27,105.96067
2/1/17,2363.64,32.078873,83.210388,62.529999,105.424416
3/1/17,2362.72,30.790142,79.853035,64.589996,108.584557
4/1/17,2384.2,30.471811,88.031174,67.269997,110.700897
5/1/17,2411.8,29.847246,91.513977,67.419998,103.365532
6/1/17,2423.41,30.726917,93.276024,60.619999,101.747147
7/1/17,2470.3,32.003788,98.909386,61.66,105.271194
8/1/17,2471.65,32.501911,102.718269,64.709999,97.632095
9/1/17,2519.36,35.917542,109.030533,61.66,95.094833
10/1/17,2575.26,38.619789,118.726212,59.77,94.361618
11/1/17,2647.58,38.718636,124.139633,61.07,101.124489
12/1/17,2673.61,36.831673,138.589584,63.509998,103.719643
1/1/18,2823.81,38.454296,143.162933,65.099998,105.682114
2/1/18,2713.83,35.67971,136.626328,60.610001,100.323616
3/1/18,2640.87,32.950462,130.220459,61.040001,97.678406
4/1/18,2648.05,33.651993,127.552071,60.509998,97.571434
5/1/18,2705.27,39.111057,134.898834,55.700001,96.735062
6/1/18,2718.37,36.088421,120.477409,59.75,101.928246
7/1/18,2816.29,35.026638,127.696976,60,110.43766
8/1/18,2901.52,33.308102,124.05732,66.040001,109.815697
